Incident.year,Latitude,Longitude,Victim.injury,Species.clean,Activity.clean,State,Location,Provoked.unprovoked,Decade
1911,-20.38333333,116.8666667,uninjured,Tiger Shark,Swimming,WA,legendre island,unprovoked,1910
1911,-10.56666667,142.2166667,fatal,Tiger Shark,Swimming,QLD,"thursday island, torre strait",unprovoked,1910
1911,-15.48333333,145.4,injured,Tiger Shark,Snorkelling,QLD,cooktown (gbr),provoked,1910
1912,-33.83333333,151.1666667,injured,Dusky Shark,Swimming,NSW,sydney (near),unprovoked,1910
1912,-33.81666667,151.15,fatal,Bull Shark,Swimming,NSW,"lane cove river, figtree, sydney",unprovoked,1910
1912,-19.45,146.6,fatal,Bull Shark,Swimming,QLD,"townsville, ross creek",unprovoked,1910
1912,-33.31666667,115.6333333,uninjured,Wobbegong,Diving,WA,bunbury harbour,provoked,1910
1912,-37.58333333,140.3333333,injured,White Shark,Fishing,SA,carpenters rocks,provoked,1910
1912,-33.91666667,151.25,injured,White Shark,Swimming,NSW,"coogee beach, sydney",unprovoked,1910
1912,-27.31666667,153.05,injured,Tiger Shark,Swimming,QLD,"moreton bay, sandgate, scroncliffe pier",unprovoked,1910
1913,-10.56666667,142.2166667,injured,Tiger Shark,Snorkelling,QLD,"torres strait, thursday/york island",provoked,1910
1913,-29.4,153.3333333,injured,Bull Shark,Fishing,NSW,"yamba, clarence river",provoked,1910
1913,-10.2,142.15,injured,Unknown,Swimming,QLD,"badu island, torres strait",provoked,1910
1913,-27.31666667,153.05,injured,Tiger Shark,Swimming,QLD,"moreton bay, sandgate, scroncliffe pier",unprovoked,1910
1913,-35.05,138.45,injured,White Shark,Swimming,SA,port noarlunga,unprovoked,1910
1914,-33.85,151.15,uninjured,Bull Shark,Boating,NSW,"five dock bay, drummoyne",unprovoked,1910
1914,-27.31666667,153.05,injured,Wobbegong,Swimming,QLD,"moreton bay, sandgate beach",unprovoked,1910
1914,-33.83333333,151.0666667,injured,Bull Shark,Boating,NSW,"parramatta river, sydney harbour",unprovoked,1910
1914,-35.23333333,136.9666667,injured,Wobbegong,Spearfishing,SA,"marion bay, yorke peninsula",provoked,1910
1914,-29.43333333,153.1833333,injured,Bull Shark,Fishing,NSW,"maclean river, lawrence",provoked,1910
1914,-37.95,145.0,fatal,White Shark,Swimming,VIC,"port phillip bay, sandringham beach",unprovoked,1910
1914,-19.16666667,146.8333333,injured,Unknown,Swimming,QLD,"magnetic island, picnic bay wharf",unprovoked,1910
1914,-31.98333333,115.7333333,injured,Wobbegong,,WA,"cottesloe beach, perth",provoked,1910
1915,-33.83333333,151.2333333,fatal,Bull Shark,Swimming,NSW,"sirius cove, sydney harbour",unprovoked,1910
1915,-27.26666667,153.2166667,injured,Wobbegong,Boating,QLD,moreton bay,unprovoked,1910
1915,-33.78333333,151.2833333,injured,Whaler Shark,Swimming,NSW,"manly, north steyne, sydney",unprovoked,1910
1915,-27.31666667,153.0666667,injured,Bull Shark,Swimming,QLD,"moreton bay, cabbage tree creek",unprovoked,1910
1916,-41.05,145.75,uninjured,Wobbegong,Diving,TAS,burnie,provoked,1910
1916,-33.76666667,151.2833333,injured,White Shark,Swimming,NSW,curl curl beach,unprovoked,1910
1916,-19.23333333,146.8,fatal,Tiger Shark,Swimming,QLD,"townsville, kissing point",unprovoked,1910
